restaurant,link,michelin guide,address,price,cuisine,michelin guide point of view,facilities & services,contact number,website,opening hours,michelin stars,location_lat,location_long
Les Genêts,https://guide.michelin.com/en/pays-de-la-loire/brem-sur-mer/restaurant/les-genets,MICHELIN GUIDE FRANCE,"21 bis rue de l'Océan, Brem-sur-Mer, 85470, France",29 - 75 EUR,Modern Cuisine,"Established in 2014 in an originally renovated traditional house, Les Genêts has allowed Nicolas Coutand, a young and talented chef, to blossom. He pays homage to regional ingredients in a series of light dishes, made with great finesse and offered at reasonable prices. Bistro - style set menu at lunchtime.","
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
Take away
X
Visa credit card
a
Wheelchair access
Show Less
",+33 2 51 96 81 59,https://www.restaurant-les-genets.fr/,"Closed: 4-31 January, 26 June-6 July, 15-30 November, Monday, Tuesday, dinner: Sunday",1,46.6079436,-1.8431549
O&O,https://guide.michelin.com/en/noord-brabant/sint-willebrord/restaurant/o-o,MICHELIN GUIDE NETHERLANDS,"Dorpsstraat 138, Sint Willebrord, 4711 EL, Netherlands",75 - 145 EUR,"Asian, Asian Influences","In 1982, Danny and Helena Tsang opened Nieuw Hong Kong in Sint Willebrord, a Chinese restaurant like many others but one which built up a good reputation in its quest to offer guests a better vision of Asian cuisine, to the extent that the Tsang family is now a proud ambassador of Asia’s culinary heritage. They have surely succeeded here, offering your taste buds a gastronomic journey from Japan and Hong Kong to Thailand, Malaysia and Singapore.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
Take away
X
Visa credit card
Show Less
",+31 165 383 249,https://www.restaurantoeno.nl/,"Closed: Monday, Tuesday, lunch: Wednesday-Thursday",1,52.1219193,5.0929093
Aira,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/aira,MICHELIN GUIDE SWEDEN,"Biskopsvägen 9, Stockholm, 115 21, Sweden","1,250 - 2,750 SEK","Modern Cuisine, Swedish","In a delightful harbour setting sits this striking restaurant offering great space and comfort. Opened in 2020, it’s an ideal spot for escaping city life. Guests walk through the open kitchen to get to the tables where they’re greeted by a charming service team. The beautiful dishes boast the occasional Asian note and make the superb ingredients really shine.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
a
Wheelchair access
Show Less
",+46 8 480 049 00,www.aira.se,"Closed: 1-11 January, Monday, lunch: Tuesday, lunch: Thursday, Sunday",1,59.3215494,18.1225233
BODENDORF'S,https://guide.michelin.com/en/schleswig-holstein/tinnum/restaurant/bodendorf-s,MICHELIN GUIDE GERMANY,"Boy-Nielsen-Straße 10, Tinnum, 25980, Germany",178 - 218 EUR,"Modern French, International","This stylish yet cosy restaurant is every bit as modern as the creative international fare it serves, prepared with great precision and rigour by Holger Bodendorf and his team using only the best ingredients. The cool bar is ideal for pre-dinner drinks or a final nightcap.","
V
American Express credit card
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+49 4651 88990,www.landhaus-stricker.de,"Closed: 25 November-25 December, 7 January-12 April, Monday, lunch: Tuesday-Saturday, Sunday",1,54.9006868,8.33310635
LYST,https://guide.michelin.com/en/southern-denmark/vejle/restaurant/lyst,MICHELIN GUIDE DENMARK,"Havneøen 1, Vejle, 7100, Denmark","2,300 DKK",Creative,"This extraordinary building stands directly in the sea and its unique interior is equally striking, with a theme of circles which reflects their ethos of sourcing produce from within a 100 mile radius. Dinner is an engaging, multi-course experience focused on creative, sophisticated dishes which respect their prime seasonal ingredients. The passion of the professional team is palpable.","
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
e
Great view
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
X
Visa credit card
Show Less
",+45 75 73 85 00,www.restaurantlyst.com,"Closed: 19 December-5 January, 10 July-4 August, Monday, Tuesday, Wednesday, lunch: Thursday-Saturday, Sunday",1,55.705907,9.554996
Soléna,https://guide.michelin.com/en/nouvelle-aquitaine/bordeaux/restaurant/solena,MICHELIN GUIDE FRANCE,"5 rue Chauffour, Bordeaux, 33000, France",39 - 98 EUR,Modern Cuisine,"The food is refreshingly pared down and creative (no more than three ingredients per recipe), simple and accessible, and concocted from the market produce available at the time. Victor Ostronzec is an ambitious chef, who even offers an ad hoc surprise menu for diners who feel like taking the plunge and leaving it all up to him.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
Show Less
",+33 5 57 53 28 06,https://www.solena-restaurant.com/,"Closed: 24-30 December, 16 April-2 May, 13-31 August, Monday, lunch: Tuesday-Wednesday, Sunday",1,44.8404816,-0.5903458
Tilia,https://guide.michelin.com/en/noord-brabant/etten-leur/restaurant/tillia212467,MICHELIN GUIDE NETHERLANDS,"Markt 7, Etten-Leur, 4875 CB, Netherlands",40 - 80 EUR,Modern Cuisine,"Chef Carlo Chantrel and maître d’/sommelier Mariëlle Vink made their mark in De Zwaan and Het Lelijke Eendje, which they have now combined into a single restaurant. Housed in a charming 17C building with a historic façade, this restaurant is colourful and stylish with an attractive, informal ambience. Guests’ happiness is paramount at Tilia, as demonstrated by the extensive menu.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
Show More
",+31 76 501 2696,https://www.restauranttilia.nl/,Nearby Restaurants,1,50.9805639,5.7623871
Le Quincangrogne,https://guide.michelin.com/en/ile-de-france/dampmart/restaurant/le-quincangrogne,MICHELIN GUIDE FRANCE,"7 rue de l'Abreuvoir, Dampmart, 77400, France",40 - 95 EUR,Modern Cuisine,"Franck Charpentier, a chef who has worked at a number of Michelin - starred restaurants, is at the helm of this place on one bank of the Marne. He has devised a simple menu centred on regional produce with precise and convincing dishes. Soft - boiled egg from Ferme de la Marche, duckling from Ferme de Dagny, and meagre browned in Bordier butter...","
T
Air conditioning
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+33 1 64 44 44 80,https://www.hotel-restaurant-lequincangrogne.fr/,"Closed: Monday, Tuesday, dinner: Sunday",1,48.8835985,2.7360506
L'Hysope,https://guide.michelin.com/en/nouvelle-aquitaine/la-jarrie/restaurant/l-hysope,MICHELIN GUIDE FRANCE,"25 rue de l'Aurore, La Jarrie, 17220, France",53 - 145 EUR,Creative,"A proponent of refined and really (very) creative cuisine, the chef showcases vegetables and plants sourced from local market gardeners, as well as fish from La Rochelle's fish market. Access via a narrow pedestrian street in the heart of the village. A loyal following of regulars.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
a
Wheelchair access
Show Less
",+33 5 46 68 52 21,https://www.lhysope.fr/,"Closed: 13 February-1 March, 26 June-12 July, Monday, dinner: Wednesday, Sunday",1,46.1294876,-1.0103579
De Gieser Wildeman,https://guide.michelin.com/en/zuid-holland/noordeloos/restaurant/de-gieser-wildeman,MICHELIN GUIDE NETHERLANDS,"Botersloot 1, Noordeloos, 4225 PR, Netherlands",57 - 122 EUR,Creative,"Imagine this: you are sitting beneath the thatched roof of a former farmhouse, surrounded by stylish design and attractive decorative details, looking through the conservatory to the beautiful garden and gently flowing river. A charming setting for a culinary escapade, where René Tichelaar’s creativity is as captivating as the surroundings.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
Take away
X
Visa credit card
Show Less
",+31 183 582 501,https://www.degieserwildeman.nl/,"Closed: Sunday, Monday, lunch: Saturday",1,51.9038757,4.9427289
La Table - Hôtel Clarance,https://guide.michelin.com/en/hauts-de-france/lille/restaurant/la-table,MICHELIN GUIDE FRANCE,"32 rue de la Barre, Lille, 59000, France",55 - 115 EUR,Modern Cuisine,"This establishment, one of the most prestigious in Lille, has entrusted its menu to a talented young chef. Thibaut Gamba, who hails from the Vosges, deploys a gamut of culinary skills acquired in France and further afield (New York, Norway) at the service of cutting - edge, mainly fish dishes. Subtle, fresh and creative!","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
É
Garden or park
Show More
",+33 3 59 36 35 59,https://www.clarancehotel.com/,Nearby Restaurants,1,50.638751,3.0570134
De Heeren van Harinxma,https://guide.michelin.com/en/fryslan/beetsterzwaag/restaurant/de-heeren-van-harinxma,MICHELIN GUIDE NETHERLANDS,"Van Harinxmaweg 10, Beetsterzwaag, 9244 CJ, Netherlands",53 - 93 EUR,"Creative, Modern Cuisine","The approach to this impressive mansion, along a lane that passes through the bucolic and extensive grounds of this estate, makes for quite an entrance. Once inside, the high ceilings, marble fireplace and authentic style, with attention shown to every detail, will delight guests.","
V
American Express credit card
ˆ
Brunch
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
K
Valet parking
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+31 512 381 245,https://www.deheerenvanharinxma.nl/,Closed: Sunday,1,53.0591283,6.0820739
La Table du Connétable - Auberge du Jeu de Paume,https://guide.michelin.com/en/hauts-de-france/chantilly/restaurant/la-table-du-connetable,MICHELIN GUIDE FRANCE,"4 rue du Connétable, Chantilly, 60500, France",54 - 145 EUR,Modern Cuisine,"In the superlative setting of the Royal Castle of Chantilly, dripping with fine art, chandeliers and tapestries, chef Anthony Denon from the Ducasse stables signs a creative score with a strong veggie slant. He does not however eschew fish, meat or the odd regional classic, albeit with a new spin, such as his eel pie. Spacious guestrooms depicted by classical elegance and enticing seasonal dishes in the Jardin d’Hiver served in the gallery or on the pretty patio terrace.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
Show More
",+33 3 44 65 50 00,https://www.aubergedujeudepaumechantilly.fr/,Nearby Restaurants,1,49.1946898,2.479637458
Le Donjon - Domaine Saint-Clair,https://guide.michelin.com/en/normandie/tretat/restaurant/le-donjon-domaine-saint-clair,MICHELIN GUIDE FRANCE,"Chemin de Saint-Clair, Etretat, 76790, France",35 - 105 EUR,Modern Cuisine,"An elegant Normandy manor is home to a restaurant whose careful, hearty cuisine pays homage to seafood. The menu, based on the Fécamp fish market, can feature cockles, lobster, sea urchins and scallops. Meals are served in a rather unexpected interior, decorated with a fresco by Jean-Charles de Castelbajac of Etretat and its cliffs on the horizon.","
f
Car park
Credit card / Debit card accepted
É
Garden or park
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
Take away
X
Visa credit card
Show Less
",+33 2 35 27 08 23,https://www.hoteletretat.com/,"Closed: Monday, Tuesday, lunch: Wednesday-Friday",1,49.7061631,0.2144216
Le Corot,https://guide.michelin.com/en/ile-de-france/ville-d-avray/restaurant/le-corot,MICHELIN GUIDE FRANCE,"55 rue de Versailles, Ville-d'Avray, 92410, France",95 - 150 EUR,Creative,"The young chef, who excels on the technical side, prides himself on creating up-to-the-minute cuisine. The dishes stand out for their freshness, subtlety and aestheticism. He makes the most of the ""urban harvest"" of the Potager du Roi, with dishes that fête plants and vegetables (among other ingredients) in a single set menu with five or seven courses.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+33 1 41 15 37 00,https://www.etangs-corot.com/,"Closed: Monday, Tuesday, lunch: Wednesday-Friday, dinner: Sunday",1,48.8218306,2.1835315
Kasteel Heemstede,https://guide.michelin.com/en/utrecht/houten/restaurant/kasteel-heemstede,MICHELIN GUIDE NETHERLANDS,"Heemsteedseweg 20, Houten, 3992 LS, Netherlands",65 - 130 EUR,Modern Cuisine,"Admire the grandeur of this fully restored 17C castle as you turn into its entranceway, walk across the small bridge and immerse yourself in the wonderful mix of historic details and contemporary luxury. Kasteel Heemstede is a special and captivating place, where highly promising and talented chef Ollie Schuiling is at the helm.","
V
American Express credit card
f
Car park
Credit card / Debit card accepted
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
X
Visa credit card
a
Wheelchair access
Show Less
",+31 30 272 2207,https://www.restaurant-kasteelheemstede.nl/,"Closed: Sunday, Monday, lunch: Tuesday",1,52.2593312,6.7967371
Au 14 Février,https://guide.michelin.com/en/centre-val-de-loire/saint-valentin/restaurant/au-14-fevrier,MICHELIN GUIDE FRANCE,"2 rue du Portail, Saint-Valentin, 36100, France",75 - 98 EUR,Modern Cuisine,"In the heart of this romantically named town, this restaurant comes as a welcome surprise. Run by a Japanese team, Japanese and French flavours are artfully meshed together in a perfect example of fusion cuisine. Refined setting and pleasant service.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
Show Less
",+33 2 54 03 04 96,https://www.sv-au14fevrier.com/,"Closed: 2-19 January, 29 August-14 September, Monday, Tuesday, Wednesday, lunch: Thursday, dinner: Sunday",1,46.9517776,1.8648654
KAI3,https://guide.michelin.com/en/schleswig-holstein/hrnum/restaurant/kai3,MICHELIN GUIDE GERMANY,"Am Kai 3, Hörnum, 25997, Germany",98 - 148 EUR,"Creative, Modern Cuisine","This restaurant serves ""Nordic Fusion"" cuisine which expertly and harmoniously combines modern, creative elements, regional produce and international influences, with a keen eye for detail. Professional, attentive service, plus superb views – especially from the terrace in summer.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
s
Garage
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+49 4651 46070,www.budersand.de,"Closed: lunch: Monday-Tuesday, Wednesday, Thursday, lunch: Friday-Sunday",1,54.76144015,8.29666996
Auberge de la Brie,https://guide.michelin.com/en/ile-de-france/couilly-pont-aux-dames/restaurant/auberge-de-la-brie,MICHELIN GUIDE FRANCE,"14 avenue Alphonse-Boulingre, Couilly-Pont-aux-Dames, 77860, France",64 - 95 EUR,Modern Cuisine,"The attractions of this charming Brie house, Michelin-starred since 1991 and continuously appreciated by its faithful customers, include a refined, classic setting (dining area overlooking the garden), delicious, contemporary cooking with personal touches (made with good ingredients) and friendly welcome.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
X
Visa credit card
Show Less
",+33 1 64 63 51 80,https://www.aubergedelabrie.net/,"Closed: 7 August-1 September, 22 December-10 January, Monday, lunch: Tuesday, Sunday",1,48.8858117,2.856185
Le Dallaison,https://guide.michelin.com/en/nouvelle-aquitaine/saintes/restaurant/le-dallaison,MICHELIN GUIDE FRANCE,"89 avenue Gambetta, Saintes, 17100, France",35 - 69 EUR,Modern Cuisine,"Take a seat in the attractive, long dining room and sample a fillet of megrim sole in basil oil or sweetbread. After stints with Emmanuel Renaut (Megève) and Anne-Sophie Pic (Valence), the young chef confirms his taste for exceptional ingredients.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
Show Less
",+33 5 46 92 08 18,https://www.ledallaison.com/,"Closed: Monday, lunch: Tuesday, Sunday",1,45.7468914,-0.623986977
Le Prince Noir - Vivien Durand,https://guide.michelin.com/en/nouvelle-aquitaine/lormont/restaurant/le-prince-noir-vivien-durand,MICHELIN GUIDE FRANCE,"1 rue du Prince-Noir, Lormont, 33310, France",60 - 125 EUR,Modern Cuisine,"A glass and concrete cube, a view of the Pont d'Aquitaine suspension bridge: we are off to a good start! Then Vivien Durand's cuisine… the chef reinterprets French tradition in the most natural way: the flavours are dazzling, the ingredients nicely showcased. Add to that a sincere eco-friendly approach, and you have an exemplary table.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
Show Less
",+33 5 56 06 12 52,https://www.leprincenoir-restaurant.fr/,"Closed: 15 August-9 September, 21 December-6 January, lunch: Tuesday-Wednesday, Saturday, Sunday",1,44.8784227,-0.5298255
Herberg Onder de Linden,https://guide.michelin.com/en/groningen/aduard/restaurant/herberg-onder-de-linden,MICHELIN GUIDE NETHERLANDS,"Burg. van Barneveldweg 3, Aduard, 9831 RD, Netherlands",55 - 125 EUR,Asian Influences,"Herberg Onder de Linden is a restaurant with a long-standing reputation, which has held a Michelin star since 1992. Steven Klein Nijenhuis took over the reins in 2016 and has given it new impetus, decorating this listed building dating back to 1735 with even more style (the chandelier is magnificent! ) and creating a warm and friendly ambience.","
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
Take away
X
Visa credit card
€
With bedrooms
Show Less
",+31 50 204 1235,https://www.herbergonderdelinden.com/,"Closed: Monday, Tuesday",1,53.2559602,6.4601862
Villa de l'Étang Blanc,https://guide.michelin.com/en/nouvelle-aquitaine/seignosse/restaurant/villa-de-l-etang-blanc,MICHELIN GUIDE FRANCE,"2265 route de l'Étang-Blanc, Seignosse, 40510, France",35 - 85 EUR,Modern Cuisine,"This restaurant offers the joys of the countryside and an up - to - date menu. Dishes include: ravioles of foie gras smoked over vine shoots, beef à la plancha, and fish of the day. A single set ‘country’ menu is served by the fireplace at lunchtime in winter. The spacious dining room and terrace overlook a pond.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
É
Garden or park
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+33 5 58 72 80 15,https://www.villaetangblanc.fr/,"Closed: dinner: Monday, Tuesday, Wednesday",1,43.6927746,-1.3792817
Zout & Citroen,https://guide.michelin.com/en/noord-brabant/oosterhout/restaurant/zout-citroen,MICHELIN GUIDE NETHERLANDS,"Ridderstraat 86, Oosterhout, 4902 AC, Netherlands",37 - 99 EUR,Creative,"Bram Helleman has the talent to create profound nuances with standard seasonings such as salt and lemon. His originality is reflected in both the combinations and the preparations of everyday ingredients. Smoked egg yolk to finish a steak tartare? It is such creative details that give familiar dishes a new shape. Chef Helleman also likes to play with spices and oriental herbs. It is all beautifully judged, with the chef's creative ideas being transformed into some intriguing flavour contrasts. His colourful creations will fascinate.","
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
X
Visa credit card
Show Less
",+31 162 450 806,https://www.zoutencitroen.nl/,"Closed: Tuesday, Wednesday, lunch: Saturday",1,51.6447215,4.8608337
Wolfslaar,https://guide.michelin.com/en/noord-brabant/breda/restaurant/wolfslaar,MICHELIN GUIDE NETHERLANDS,"Wolfslaardreef 100, Breda, 4834 SP, Netherlands",60 - 108 EUR,Creative,"The Wolfslaar experience starts as soon as you enter the grounds of the estate and approach the former coach house, which is surrounded by charming natural scenery. The terrace is particularly popular, as you would expect, although the restaurant with its contemporary feel is equally attractive.","
V
American Express credit card
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
Show More
",+31 76 560 8000,http://www.wolfslaar.com/,Nearby Restaurants,1,51.5606887,4.8048901
Fleur de Pavé,https://guide.michelin.com/en/ile-de-france/paris/restaurant/fleur-de-pave,MICHELIN GUIDE FRANCE,"5 rue Paul-Lelong, Paris, 75002, France",45 - 110 EUR,"Creative, Modern Cuisine","If you liked Itinéraires you will love Fleur de Pavé, where Sylvain Sendra pursues his culinary explorations with great panache. He cooks up modern dishes that draw inspiration from all over the world. The emphasis is laid squarely on flavour, thanks to the use of top-notch ingredients – such as the highly exclusive vegetables of Asafumi Yamashita.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+33 1 40 26 38 87,http://www.fleurdepave.com/,"Closed: lunch: Saturday, Sunday",1,48.8677178,2.3433324
La Provence,https://guide.michelin.com/en/utrecht/driebergen-rijsenburg/restaurant/la-provence212401,MICHELIN GUIDE NETHERLANDS,"Hoofdstraat 109, Driebergen-Rijsenburg, 3971 KG, Netherlands",65 - 107 EUR,Creative French,"André van Alten is a fine example of a chef who keeps reinventing himself. Although his impressive classical background shines through his consistently high-quality cuisine, it does not stop here as he changes his dishes regularly and enjoys showcasing his full creativity in his garnishes.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
û
Restaurant offering vegetarian menus
Take away
X
Visa credit card
Show Less
",+31 343 512 920,https://www.restaurantlaprovence.nl/,"Closed: Sunday, Monday, Tuesday, lunch: Wednesday",1,52.0516547,5.2836332
Kaatje bij de Sluis,https://guide.michelin.com/en/overijssel/blokzijl/restaurant/kaatje-bij-de-sluis,MICHELIN GUIDE NETHERLANDS,"Brouwerstraat 20, Blokzijl, 8356 DV, Netherlands",63 - 115 EUR,"Organic, Creative French","Blokzijl is a picturesque part of the Netherlands, so guests here are advised to book a table by the window to enjoy the magnificent view of the lock and the typical brick houses that surround it. Here, cartoons embellish the walls, while chef Peter Postma’s creativity, fascinating nuances of flavours and attention to detail enliven every dish.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
{
Private dining room
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+31 527 291 833,https://www.kaatje.nl/,,1,52.7265562,5.961040645
La Meynardie,https://guide.michelin.com/en/nouvelle-aquitaine/salignac-eyvigues/restaurant/la-meynardie,MICHELIN GUIDE FRANCE,"Lieu-dit La Meynardie, Salignac-Eyvigues, 24590, France",25 - 83 EUR,Modern Cuisine,"Nestled deep in the Dordogne, this restaurant isn’t easy to find but is definitely worth the effort! A delightfully rustic setting (old beams and stone) is the backdrop for the work of a young couple, who proposes delicate, precise dishes, rich in generosity and depicted by flawless cooking and presentation.","
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
Show More
",+33 5 53 28 85 98,https://www.domainedelameynardie.com/,,1,44.9754145,1.320367
Le George,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-george,MICHELIN GUIDE FRANCE,"31 avenue George-V, Paris, 75008, France",62 - 140 EUR,Italian,"In the kitchens of the George since September 2016, Simone Zanoni has made an impression with his light, Italian - inspired cooking, often served in tasting - size portions. Superb dining room or conservatory in the courtyard.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
Show More
",+33 1 49 52 72 09,https://www.legeorge.com/,o,1,48.8686738,2.3007762
Alliance,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alliance,MICHELIN GUIDE FRANCE,"5 rue de Poissy, Paris, 75005, France",59 - 195 EUR,Modern Cuisine,"Alliance brings together two alumni of the restaurant Agapé Substance as partners in this new adventure. A starter of oyster, onion and lemon; foie gras, vegetable pot - au - feu and Corsican broth... The chef's dishes are flashes of simplicity, at once subtle and well executed. We will be going back for more.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
E
Non-smoking restaurant
X
Visa credit card
a
Wheelchair access
Show Less
",+33 1 75 51 57 54,https://www.restaurant-alliance.fr/,"Closed: 20-26 December, 1-22 August, Saturday, Sunday",1,48.8499232,2.3533019
Nomicos,https://guide.michelin.com/en/ile-de-france/paris/restaurant/nomicos,MICHELIN GUIDE FRANCE,"16 avenue Bugeaud, Paris, 75116, France",55 - 162 EUR,Modern Cuisine,"After a stint at Lasserre, a temple of classical French cuisine, Jean-Louis Nomicos opened this restaurant that bears his name. The contemporary interior provides the perfect foil to his culinary score, which features subtle dishes, whose Mediterranean accents are a passing nod to his Provençal roots and meticulous craftsmanship. It would be a crime to leave without tasting his signature dish: macaroni with black truffles and duck foie gras!","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
Show More
",+33 1 56 28 16 16,https://www.nomicos.fr/,Nearby Restaurants,1,48.870237,2.2830772
Roscanvec,https://guide.michelin.com/en/bretagne/vannes/restaurant/roscanvec,MICHELIN GUIDE FRANCE,"19 rue des Halles, Vannes, 56000, France",38 - 110 EUR,Modern Cuisine,"This restaurant is now set in the splendid, fully refurbished historic interior of a 17C mansion, built by the lord of Roscanvec, one of the king’s councillors. The pared-back dining room is furnished in a contemporary vibe. The same team is on hand, supporting a chef who cooks food that is tailored to modern tastes and appetites.","
Credit card / Debit card accepted
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
Show More
",+33 2 97 47 15 96,www.roscanvec.com,Nearby Restaurants,1,47.6572803,-2.7579034
Basiliek,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/basiliek,MICHELIN GUIDE NETHERLANDS,"Vischmarkt 57 L, Harderwijk, 3841 BE, Netherlands",59 - 102 EUR,Modern Cuisine,"This former Gothic chapel with its stained-glass windows and rustic brick walls boasts a traditional character combined with modern comfort, enhanced by a beautiful glass-fronted wine cabinet containing over 600 bottles, where gourmets can enjoy Rik Jansma’s refinement and creativity.","
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
Take away
X
Visa credit card
Show Less
",+31 341 415 290,https://www.restaurantbasiliek.nl/,"Closed: Sunday, lunch: Monday-Friday, Saturday",1,52.33599915,5.640271521
Table - Bruno Verjus,https://guide.michelin.com/en/ile-de-france/paris/restaurant/table-bruno-verjus,MICHELIN GUIDE FRANCE,"3 rue de Prague, Paris, 75012, France",70 - 240 EUR,Modern Cuisine,"Bruno Verjus talks about his supplier partners with a twinkle in his eye, which speaks volumes about his philosophy of putting produce centre stage. He crafts his ingredients (on this day scallops and sweetbreads) like so many rough diamonds, with the energy of a true devotee. Good wine list.","
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
X
Visa credit card
Show Less
",+33 1 43 43 12 26,https://www.table.paris/,"Closed: 24 December-5 January, Monday, lunch: Saturday, Sunday",1,48.8487639,2.3758751
Aspic,https://guide.michelin.com/en/ile-de-france/paris/restaurant/aspic,MICHELIN GUIDE FRANCE,"24 rue de la Tour-d'Auvergne, Paris, 75009, France",95 EUR,Modern Cuisine,"This bistro is everything a bistro should be. It has a retro feel, open kitchen and sleek decor with untreated materials, in harmony with the carefully presented dishes, which highlight the ingredients (free-range meat and poultry, line-caught fish from small suppliers, herbs and spices). A relaxed atmosphere in which to enjoy gourmet cuisine (try the seven-course mystery menu), and attentive service. Inevitably with such a gem, booking is essential.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
Show Less
",+33 9 82 49 30 98,https://www.aspic-restaurant.fr/,"Closed: 24 December-2 January, 30 July-28 August, lunch: Monday-Friday, Saturday, Sunday",1,48.8588897,2.320041022
